# Label	X est	Y est	Z est
point 440	0.171924	1.070157	0.915388
point 441	0.085274	1.047948	0.904902
point 442	0.054834	1.073202	0.924437
point 443	0.056937	1.082611	0.882311
point 444	0.029649	1.086042	0.875382
point 445	0.037001	1.071426	0.897752
point 446	0.027153	1.063824	0.913269
point 447	0.036091	1.06949	0.910978
point 448	0.049817	1.073985	0.897891
point 449	0.000189	1.036267	0.954706
point 45	0.39574	0.527814	1.062084
point 450	-0.020305	1.014547	0.970092
point 451	-0.038317	1.011421	0.954784
point 452	-0.030518	1.026507	0.928438
point 453	-0.039725	1.00627	0.963091
point 454	-0.082184	1.100441	0.646689
point 455	-0.163808	1.05463	0.721772
point 456	-0.143455	1.084625	0.685276
point 457	-0.163184	1.090915	0.684962
point 458	-0.147523	1.099035	0.674251
point 459	-0.17384	1.091632	0.678673
point 46	0.51333	0.673803	0.979448
point 460	-0.200928	1.072386	0.660833
point 461	-0.203354	1.055507	0.676944
point 462	-0.224362	1.046638	0.691939
point 463	-0.224219	1.085255	0.663047
point 464	-0.245982	1.080826	0.659227
point 465	-0.225996	1.047571	0.673012
point 466	-0.239189	1.03734	0.675541
point 467	-0.237034	1.079701	0.641972
point 468	-0.207058	1.096405	0.645893
point 469	-0.219029	1.113866	0.6298
point 47	0.50367	0.673787	0.952228
point 470	-0.192348	1.106295	0.64313
point 471	-0.195455	1.124713	0.624658
point 472	-0.181024	1.127879	0.633163
point 473	-0.155467	1.139039	0.652433
point 474	-0.16069	1.149526	0.635956
point 475	-0.165913	1.156591	0.611845
point 476	-0.181675	1.13985	0.618785
point 477	-0.181594	1.16027	0.592414
point 478	-0.200189	1.162163	0.58499
point 479	-0.159241	1.159892	0.583996
point 48	0.493988	0.677085	0.952029
point 480	-0.165063	1.155703	0.560661
point 481	-0.174605	1.161753	0.559004
point 482	-0.228618	1.139521	0.588512
point 483	-0.21537	1.136289	0.584867
point 484	-0.247749	1.13106	0.574699
point 485	-0.240445	1.13624	0.572057
point 49	0.475778	0.674561	0.964466
point 5	0.156372	0.122115	1.42952
point 50	0.475097	0.670371	0.982994
point 51	0.446279	0.625328	1.035225
point 52	0.099335	0.176052	1.398059
point 53	0.045102	0.157249	1.408702
point 54	0.066951	0.186783	1.383939
point 55	0.064989	0.23537	1.390619
point 56	0.096736	0.208787	1.339473
point 57	0.136137	0.221195	1.351552
point 58	0.121546	0.299454	1.272147
point 59	0.0893	0.2106	1.354421
point 6	0.205456	0.14071	1.416778
point 60	0.225152	0.320469	1.387852
point 61	0.22203	0.339899	1.367463
point 62	0.233913	0.353428	1.376472
point 63	0.247641	0.354691	1.379463
point 64	0.252358	0.34641	1.390113
point 65	0.274166	0.362647	1.382075
point 66	0.245971	0.363698	1.358938
point 67	0.211623	0.314152	1.243386
point 68	0.178601	0.363019	1.248107
point 69	0.308521	0.280773	1.409421
point 7	0.304247	0.236904	1.446617
point 70	0.427425	0.335581	1.327383
point 71	0.437846	0.340948	1.317777
point 72	-0.098711	0.205157	1.342616
point 73	-0.072259	0.247314	1.296249
point 74	-0.008627	0.26588	1.292563
point 75	-0.180249	0.27514	1.301459
point 76	-0.183077	0.280625	1.285031
point 77	-0.167701	0.326352	1.26732
point 78	-0.288074	0.298692	1.315544
point 79	-0.122723	0.285376	1.288449
point 8	0.525498	0.186254	1.30566
point 80	-0.105143	0.285506	1.266601
point 81	-0.061755	0.323473	1.286351
point 82	-0.089656	0.31928	1.251025
point 83	-0.132221	0.374918	1.243986
point 84	-0.128762	0.38434	1.235246
point 85	-0.14209	0.384513	1.233862
point 86	-0.149867	0.40492	1.228114
point 87	-0.206105	0.377366	1.231686
point 88	-0.309976	0.361071	1.244032
point 89	-0.131544	0.409662	1.196875
point 9	0.551568	0.13972	1.373536
point 90	-0.061883	0.381216	1.220422
point 91	-0.005861	0.368757	1.193402
point 92	-0.091221	0.422284	1.20364
point 93	-0.166044	0.48158	1.137616
point 94	-0.167483	0.420891	1.189781
point 95	-0.32903	0.282822	1.313245
point 96	-0.449778	0.379727	1.238943
point 97	-0.497628	0.352672	1.181408
point 98	-0.400946	0.401887	1.22542
point 99	-0.454314	0.476606	1.179591
